,Region Name,District,HR_info_district_name,REGN_NO,DIST_NO
528,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
529,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
530,Middle Juba,Sakow,Saakow,27.0,2703.0
531,Togdheer,Sheikh,Sheikh,13.0,1304.0
532,Sool,Taleh,Taleex,14.0,1404.0
533,Bakool,Waajid,Waajid,25.0,2505.0
534,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
535,sool,Xudun,Xudun,14.0,1402.0
536,Awdal,Zeylac,Zeylac,11.0,1104.0
537,Nugaal,Garowe,Garowe,17.0,1703.0
538,Gedo,Dolow,Doolow,26.0,2603.0
539,Gedo,Dolow,Doolow,26.0,2603.0
540,Bari,Dangorayo,,,
541,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
542,Bari,Dangorayo,,,
543,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
544,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
545,Nugaal,Eyl,Eyl,17.0,1702.0
546,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
547,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
548,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
549,Gedo,Dolow,Doolow,26.0,2603.0
550,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
551,Gedo,Luuq,Luuq,26.0,2606.0
552,Gedo,Luuq,Luuq,26.0,2606.0
553,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
554,Gedo,Dolow,Doolow,26.0,2603.0
555,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
556,Gedo,Luuq,Luuq,26.0,2606.0
557,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
558,Gedo,Dolow,Doolow,26.0,2603.0
559,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
560,Gedo,Luuq,Luuq,26.0,2606.0
561,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
562,Gedo,Dolow,Doolow,26.0,2603.0
563,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
564,Gedo,Luuq,Luuq,26.0,2606.0
565,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
566,Gedo,Dolow,Doolow,26.0,2603.0
567,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
568,Gedo,Luuq,Luuq,26.0,2606.0
569,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
570,Gedo,Dolow,Doolow,26.0,2603.0
571,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
572,Gedo,Luuq,Luuq,26.0,2606.0
573,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
574,Gedo,Dolow,Doolow,26.0,2603.0
575,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
576,Gedo,Luuq,Luuq,26.0,2606.0
577,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
578,Gedo,Dolow,Doolow,26.0,2603.0
579,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
580,Gedo,Luuq,Luuq,26.0,2606.0
581,Benadir,Mogadishu,Mogadishu,22.0,2201.0
582,Togdheer,Burao,Burco,13.0,1302.0
583,Nugaal,Garowe,Garowe,17.0,1703.0
584,Gedo,Dolow,Doolow,26.0,2603.0
585,Togdheer,Burao,Burco,13.0,1302.0
586,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
587,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
588,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
589,Togdheer,Burao,Burco,13.0,1302.0
590,Sool,Lasanod,Laas Caanood,14.0,1403.0
591,Sool,Taleh,Taleex,14.0,1404.0
592,sool,Xudun,Xudun,14.0,1402.0
593,Togdheer,Burao,Burco,13.0,1302.0
594,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
595,Sool,Lasanod,Laas Caanood,14.0,1403.0
596,Togdheer,Burao,Burco,13.0,1302.0
597,Sool,Lasanod,Laas Caanood,14.0,1403.0
598,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
599,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
600,Awdal,Borama,Borama,11.0,1102.0
601,Awdal,Borama,Borama,11.0,1102.0
602,Togdheer,Burao,Burco,13.0,1302.0
603,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
604,Sool,Lasanod,Laas Caanood,14.0,1403.0
605,Bay,Baidoa,Baidoa,24.0,2401.0
606,Lower Juba,Afmadow,Afmadow,28.0,2801.0
607,Benadir,Mogadishu,Mogadishu,22.0,2201.0
608,Lower Juba,Kismayo,Kismayo,28.0,2804.0
609,Lower Juba,Afmadow,Afmadow,28.0,2801.0
610,Lower Juba,Afmadow,Afmadow,28.0,2801.0
611,Lower Juba,Kismayo,Kismayo,28.0,2804.0
612,Lower Juba,Kismayo,Kismayo,28.0,2804.0
613,Awdal,Borama,Borama,11.0,1102.0
614,Bari,Bossaso,Bossaso,16.0,1603.0
615,Togdheer,Burao,Burco,13.0,1302.0
616,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
617,Benadir,Mogadishu,Mogadishu,22.0,2201.0
618,Benadir,Mogadishu,Mogadishu,22.0,2201.0
619,Lower Juba,Kismayo,Kismayo,28.0,2804.0
620,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
621,Galgaduud,Adado,Cadaado,19.0,1902.0
622,Middle Shebelle,Adale,Cadale,21.0,2004.0
623,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
624,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
625,Lower Juba,Afmadow,Afmadow,28.0,2801.0
626,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
627,Bay,Baidoa,Baidoa,24.0,2401.0
628,Middle Shebelle,Balad,Balcad,21.0,2102.0
629,Gedo,Bardera,Baardheere,26.0,2601.0
630,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
631,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
632,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
633,Middle Juba,Buale,Bu'aale,27.0,2701.0
634,Hiran,Buloburde,Bulo Burti,20.0,2002.0
635,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
636,Bay,Diinsor,Diinsoor,24.0,2403.0
637,Gedo,Dolow,Doolow,26.0,2603.0
638,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
639,Bakool,El Barde,Ceel Barde,25.0,2501.0
640,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
641,Galgaduud,El Der,Ceel Buur,19.0,1904.0
642,Gedo,Ceel Waaq,El Waq,26.0,2604.0
643,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
644,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
645,Mudug,Galdogob,Galdogob,18.0,1802.0
646,Mudug,Hobyo,Hobyo,18.0,1804.0
647,Bakool,Hudur,Xudur,25.0,2502.0
648,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
649,Lower Juba,Jamaame,Jamaame,28.0,2803.0
650,Mudug,Jariiban,Jariiban,18.0,1805.0
651,Middle Juba,Jilib,Jilib,27.0,2702.0
652,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
653,Lower Juba,Kismayo,Kismayo,28.0,2804.0
654,Gedo,Luuq,Luuq,26.0,2606.0
655,Lower Shebelle,Marka,Marka,23.0,2304.0
656,Benadir,Mogadishu,Mogadishu,22.0,2201.0
657,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
658,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
659,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
660,Middle Juba,Sakow,Saakow,27.0,2703.0
661,Bakool,Waajid,Waajid,25.0,2505.0
662,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
663,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
664,Gedo,Bardera,Baardheere,26.0,2601.0
665,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
666,Gedo,Dolow,Doolow,26.0,2603.0
667,Gedo,Ceel Waaq,El Waq,26.0,2604.0
668,Gedo,Bardera,Baardheere,26.0,2601.0
669,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
670,Gedo,Dolow,Doolow,26.0,2603.0
671,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
672,Gedo,Bardera,Baardheere,26.0,2601.0
673,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
674,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
675,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
676,Benadir,Mogadishu,Mogadishu,22.0,2201.0
677,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
678,Galgaduud,Adado,Cadaado,19.0,1902.0
679,Middle Shebelle,Adale,Cadale,21.0,2004.0
680,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
681,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
682,Lower Juba,Afmadow,Afmadow,28.0,2801.0
683,Bari,Alula,Caluula,16.0,1601.0
684,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
685,Bay,Baidoa,Baidoa,24.0,2401.0
686,Awdal,Baki,Baki,11.0,1101.0
687,Middle Shebelle,Balad,Balcad,21.0,2102.0
688,Gedo,Bardera,Baardheere,26.0,2601.0
689,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
690,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
691,Bari,Bender Beila,Bandarbayla,16.0,1602.0
692,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
693,Awdal,Borama,Borama,11.0,1102.0
694,Bari,Bossaso,Bossaso,16.0,1603.0
695,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
696,Middle Juba,Buale,Bu'aale,27.0,2701.0
697,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
698,Hiran,Buloburde,Bulo Burti,20.0,2002.0
699,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
700,Togdheer,Burao,Burco,13.0,1302.0
701,Nugaal,Burtinle,Burtinle,17.0,1701.0
702,Sool,Aynabo,Caynabo,14.0,1401.0
703,Bari,Dangorayo,,,
704,Bay,Diinsor,Diinsoor,24.0,2403.0
705,Gedo,Dolow,Doolow,26.0,2603.0
706,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
707,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
708,Bakool,El Barde,Ceel Barde,25.0,2501.0
709,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
710,Galgaduud,El Der,Ceel Buur,19.0,1904.0
711,Gedo,Ceel Waaq,El Waq,26.0,2604.0
712,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
713,Nugaal,Eyl,Eyl,17.0,1702.0
714,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
715,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
716,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
717,Bari,Qardho,Qardho,16.0,1604.0
718,Nugaal,Garowe,Garowe,17.0,1703.0
719,Mudug,Galdogob,Galdogob,18.0,1802.0
720,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
721,Mudug,Hobyo,Hobyo,18.0,1804.0
722,Bakool,Hudur,Xudur,25.0,2502.0
723,Bari,Iskushuban,Iskushuban,16.0,1605.0
724,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
725,Lower Juba,Jamaame,Jamaame,28.0,2803.0
726,Mudug,Jariiban,Jariiban,18.0,1805.0
727,Middle Juba,Jilib,Jilib,27.0,2702.0
728,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
729,,Kandala,Qandala,16.0,1605.0
730,Lower Juba,Kismayo,Kismayo,28.0,2804.0
731,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
732,Sool,Lasanod,Laas Caanood,14.0,1403.0
733,Awdal,Lughaye,Lughaye,11.0,1103.0
734,Gedo,Luuq,Luuq,26.0,2606.0
735,Lower Shebelle,Marka,Marka,23.0,2304.0
736,Benadir,Mogadishu,Mogadishu,22.0,2201.0
737,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
738,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
739,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
740,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
741,Middle Juba,Sakow,Saakow,27.0,2703.0
742,Togdheer,Sheikh,Sheikh,13.0,1304.0
743,Sool,Taleh,Taleex,14.0,1404.0
744,Bakool,Waajid,Waajid,25.0,2505.0
745,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
746,sool,Xudun,Xudun,14.0,1402.0
747,Awdal,Zeylac,Zeylac,11.0,1104.0
748,Bari,Alula,Caluula,16.0,1601.0
749,Awdal,Baki,Baki,11.0,1101.0
750,Bari,Bender Beila,Bandarbayla,16.0,1602.0
751,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
752,Awdal,Borama,Borama,11.0,1102.0
753,Bari,Bossaso,Bossaso,16.0,1603.0
754,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
755,Togdheer,Burao,Burco,13.0,1302.0
756,Nugaal,Burtinle,Burtinle,17.0,1701.0
757,Sool,Aynabo,Caynabo,14.0,1401.0
758,Bari,Dangorayo,,,
759,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
760,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
761,Nugaal,Eyl,Eyl,17.0,1702.0
762,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
763,Bari,Qardho,Qardho,16.0,1604.0
764,Nugaal,Garowe,Garowe,17.0,1703.0
765,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
766,Bari,Iskushuban,Iskushuban,16.0,1605.0
767,,Kandala,Qandala,16.0,1605.0
768,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
769,Sool,Lasanod,Laas Caanood,14.0,1403.0
770,Awdal,Lughaye,Lughaye,11.0,1103.0
771,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
772,Togdheer,Sheikh,Sheikh,13.0,1304.0
773,Sool,Taleh,Taleex,14.0,1404.0
774,sool,Xudun,Xudun,14.0,1402.0
775,Awdal,Zeylac,Zeylac,11.0,1104.0
776,Bari,Alula,Caluula,16.0,1601.0
777,Bari,Bender Beila,Bandarbayla,16.0,1602.0
778,Bari,Bossaso,Bossaso,16.0,1603.0
779,Nugaal,Burtinle,Burtinle,17.0,1701.0
780,Bari,Dangorayo,,,
781,Nugaal,Eyl,Eyl,17.0,1702.0
782,Bari,Qardho,Qardho,16.0,1604.0
783,Nugaal,Garowe,Garowe,17.0,1703.0
784,Bari,Iskushuban,Iskushuban,16.0,1605.0
785,,Kandala,Qandala,16.0,1605.0
786,Awdal,Baki,Baki,11.0,1101.0
787,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
788,Awdal,Borama,Borama,11.0,1102.0
789,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
790,Togdheer,Burao,Burco,13.0,1302.0
791,Sool,Aynabo,Caynabo,14.0,1401.0
792,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
793,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
794,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
795,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
796,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
797,Sool,Lasanod,Laas Caanood,14.0,1403.0
798,Awdal,Lughaye,Lughaye,11.0,1103.0
799,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
800,Togdheer,Sheikh,Sheikh,13.0,1304.0
801,Sool,Taleh,Taleex,14.0,1404.0
802,sool,Xudun,Xudun,14.0,1402.0
803,Awdal,Zeylac,Zeylac,11.0,1104.0
804,Lower Juba,Kismayo,Kismayo,28.0,2804.0
805,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
806,Galgaduud,Adado,Cadaado,19.0,1902.0
807,Middle Shebelle,Adale,Cadale,21.0,2004.0
808,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
809,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
810,Lower Juba,Afmadow,Afmadow,28.0,2801.0
811,Bari,Alula,Caluula,16.0,1601.0
812,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
813,Bay,Baidoa,Baidoa,24.0,2401.0
814,Awdal,Baki,Baki,11.0,1101.0
815,Middle Shebelle,Balad,Balcad,21.0,2102.0
816,Gedo,Bardera,Baardheere,26.0,2601.0
817,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
818,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
819,Bari,Bender Beila,Bandarbayla,16.0,1602.0
820,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
821,Awdal,Borama,Borama,11.0,1102.0
822,Bari,Bossaso,Bossaso,16.0,1603.0
823,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
824,Middle Juba,Buale,Bu'aale,27.0,2701.0
825,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
826,Hiran,Buloburde,Bulo Burti,20.0,2002.0
827,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
828,Togdheer,Burao,Burco,13.0,1302.0
829,Nugaal,Burtinle,Burtinle,17.0,1701.0
830,Sool,Aynabo,Caynabo,14.0,1401.0
831,Bari,Dangorayo,,,
832,Bay,Diinsor,Diinsoor,24.0,2403.0
833,Gedo,Dolow,Doolow,26.0,2603.0
834,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
835,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
836,Bakool,El Barde,Ceel Barde,25.0,2501.0
837,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
838,Galgaduud,El Der,Ceel Buur,19.0,1904.0
839,Gedo,Ceel Waaq,El Waq,26.0,2604.0
840,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
841,Nugaal,Eyl,Eyl,17.0,1702.0
842,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
843,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
844,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
845,Bari,Qardho,Qardho,16.0,1604.0
846,Nugaal,Garowe,Garowe,17.0,1703.0
847,Mudug,Galdogob,Galdogob,18.0,1802.0
848,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
849,Mudug,Hobyo,Hobyo,18.0,1804.0
850,Bakool,Hudur,Xudur,25.0,2502.0
851,Bari,Iskushuban,Iskushuban,16.0,1605.0
852,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
853,Lower Juba,Jamaame,Jamaame,28.0,2803.0
854,Mudug,Jariiban,Jariiban,18.0,1805.0
855,Middle Juba,Jilib,Jilib,27.0,2702.0
856,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
857,,Kandala,Qandala,16.0,1605.0
858,Lower Juba,Kismayo,Kismayo,28.0,2804.0
859,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
860,Sool,Lasanod,Laas Caanood,14.0,1403.0
861,Awdal,Lughaye,Lughaye,11.0,1103.0
862,Gedo,Luuq,Luuq,26.0,2606.0
863,Lower Shebelle,Marka,Marka,23.0,2304.0
864,Benadir,Mogadishu,Mogadishu,22.0,2201.0
865,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
866,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
867,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
868,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
869,Middle Juba,Sakow,Saakow,27.0,2703.0
870,Togdheer,Sheikh,Sheikh,13.0,1304.0
871,Sool,Taleh,Taleex,14.0,1404.0
872,Bakool,Waajid,Waajid,25.0,2505.0
873,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
874,sool,Xudun,Xudun,14.0,1402.0
875,Awdal,Zeylac,Zeylac,11.0,1104.0
876,Middle Shebelle,Adale,Cadale,21.0,2004.0
877,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
878,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
879,Lower Juba,Afmadow,Afmadow,28.0,2801.0
880,Bari,Alula,Caluula,16.0,1601.0
881,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
882,Bay,Baidoa,Baidoa,24.0,2401.0
883,Awdal,Baki,Baki,11.0,1101.0
884,Middle Shebelle,Balad,Balcad,21.0,2102.0
885,Gedo,Bardera,Baardheere,26.0,2601.0
886,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
887,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
888,Bari,Bender Beila,Bandarbayla,16.0,1602.0
889,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
890,Awdal,Borama,Borama,11.0,1102.0
891,Bari,Bossaso,Bossaso,16.0,1603.0
892,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
893,Middle Juba,Buale,Bu'aale,27.0,2701.0
894,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
895,Hiran,Buloburde,Bulo Burti,20.0,2002.0
896,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
897,Togdheer,Burao,Burco,13.0,1302.0
898,Nugaal,Burtinle,Burtinle,17.0,1701.0
899,Sool,Aynabo,Caynabo,14.0,1401.0
900,Bari,Dangorayo,,,
901,Bay,Diinsor,Diinsoor,24.0,2403.0
902,Gedo,Dolow,Doolow,26.0,2603.0
903,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
904,Bakool,El Barde,Ceel Barde,25.0,2501.0
905,Gedo,Ceel Waaq,El Waq,26.0,2604.0
906,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
907,Nugaal,Eyl,Eyl,17.0,1702.0
908,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
909,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
910,Bari,Qardho,Qardho,16.0,1604.0
911,Nugaal,Garowe,Garowe,17.0,1703.0
912,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
913,Bakool,Hudur,Xudur,25.0,2502.0
914,Bari,Iskushuban,Iskushuban,16.0,1605.0
915,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
916,Lower Juba,Jamaame,Jamaame,28.0,2803.0
917,Middle Juba,Jilib,Jilib,27.0,2702.0
918,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
919,,Kandala,Qandala,16.0,1605.0
920,Lower Juba,Kismayo,Kismayo,28.0,2804.0
921,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
922,Sool,Lasanod,Laas Caanood,14.0,1403.0
923,Awdal,Lughaye,Lughaye,11.0,1103.0
924,Gedo,Luuq,Luuq,26.0,2606.0
925,Lower Shebelle,Marka,Marka,23.0,2304.0
926,Benadir,Mogadishu,Mogadishu,22.0,2201.0
927,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
928,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
929,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
930,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
931,Middle Juba,Sakow,Saakow,27.0,2703.0
932,Togdheer,Sheikh,Sheikh,13.0,1304.0
933,Sool,Taleh,Taleex,14.0,1404.0
934,Bakool,Waajid,Waajid,25.0,2505.0
935,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
936,Sool,Xudun,Xudun,14.0,1402.0
937,Awdal,Zeylac,Zeylac,11.0,1104.0
938,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
